Order_ID,Date,Product,Category,Quantity,Unit_Price,Sales,Region
1001,2026-01-05,Laptop,Electronics,2,55000,110000,West
1002,2026-01-08,Mouse,Accessories,10,800,8000,North
1003,2026-01-12,Keyboard,Accessories,5,1500,7500,South
1004,2026-01-15,Monitor,Electronics,3,12000,36000,West
1005,2026-01-20,Phone,Electronics,4,25000,100000,East
1006,2026-02-02,Laptop,Electronics,1,55000,55000,North
1007,2026-02-07,Mouse,Accessories,15,800,12000,South
1008,2026-02-14,Keyboard,Accessories,8,1500,12000,West
1009,2026-02-18,Monitor,Electronics,2,12000,24000,East
1010,2026-02-25,Phone,Electronics,3,25000,75000,North
1011,2026-03-03,Laptop,Electronics,2,55000,110000,South
1012,2026-03-09,Mouse,Accessories,20,800,16000,West
1013,2026-03-15,Keyboard,Accessories,6,1500,9000,East
1014,2026-03-20,Monitor,Electronics,4,12000,48000,North
1015,2026-03-28,Phone,Electronics,5,25000,125000,West
1016,2026-04-04,Laptop,Electronics,1,55000,55000,East
1017,2026-04-10,Mouse,Accessories,12,800,9600,North
1018,2026-04-17,Keyboard,Accessories,7,1500,10500,South
1019,2026-04-22,Monitor,Electronics,3,12000,36000,West
1020,2026-04-29,Phone,Electronics,2,25000,50000,East
